time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,0.153437,0.183000,-0.207128,0.229132,-0.249933,-0.069966
0.020000,0.153553,0.182963,-0.207118,0.229110,-0.249869,-0.069907
0.040000,0.153486,0.183022,-0.207149,0.229224,-0.249865,-0.069893
0.060000,0.153628,0.182978,-0.207179,0.229177,-0.249803,-0.069835
0.080000,0.153594,0.182985,-0.207237,0.229241,-0.249890,-0.069791
0.100000,0.153728,0.182958,-0.207252,0.229207,-0.249858,-0.069699
0.120000,0.153742,0.182936,-0.207379,0.229315,-0.249991,-0.069762
0.140000,0.153797,0.182971,-0.207241,0.229243,-0.249893,-0.069604
0.160000,0.153774,0.182920,-0.207420,0.229342,-0.249999,-0.069676
0.180000,0.153856,0.182908,-0.207308,0.229201,-0.249915,-0.069481
0.200000,0.153814,0.182867,-0.207430,0.229237,-0.250041,-0.069593
0.220000,0.153951,0.182809,-0.207423,0.229101,-0.250031,-0.069529
0.240000,0.153880,0.182813,-0.207449,0.229126,-0.250099,-0.069463
0.260000,0.153912,0.182841,-0.207303,0.229170,-0.250032,-0.069241
0.280000,0.153878,0.182829,-0.207427,0.229182,-0.250055,-0.069389
0.300000,0.154030,0.182745,-0.207466,0.229165,-0.250117,-0.069329
0.320000,0.153932,0.182779,-0.207472,0.229090,-0.250127,-0.069397
0.340000,0.154062,0.182698,-0.207502,0.229102,-0.250241,-0.069229
0.360000,0.153993,0.182688,-0.207558,0.229001,-0.250206,-0.069388
0.380000,0.154139,0.182624,-0.207578,0.229022,-0.250293,-0.069196
0.400000,0.154242,0.182616,-0.207671,0.228929,-0.250258,-0.069359
0.420000,0.154208,0.182537,-0.207673,0.228878,-0.250357,-0.069201
0.440000,0.154411,0.182498,-0.207797,0.228717,-0.250331,-0.069379
0.460000,0.154409,0.182500,-0.207710,0.228718,-0.250388,-0.069148
0.480000,0.154415,0.182522,-0.207732,0.228713,-0.250254,-0.069265
0.500000,0.154388,0.182530,-0.207678,0.228832,-0.250223,-0.069069
0.520000,0.154364,0.182558,-0.207685,0.228781,-0.250106,-0.069227
0.540000,0.154266,0.182624,-0.207575,0.228829,-0.250113,-0.069121
0.560000,0.154177,0.182678,-0.207593,0.228696,-0.250031,-0.069362
0.580000,0.154119,0.182676,-0.207527,0.228688,-0.250088,-0.069209
0.600000,0.154105,0.182673,-0.207534,0.228563,-0.250033,-0.069388
0.620000,0.154079,0.182700,-0.207385,0.228513,-0.250095,-0.069270
0.640000,0.154059,0.182722,-0.207393,0.228394,-0.250038,-0.069483
0.660000,0.154070,0.182706,-0.207321,0.228368,-0.250121,-0.069324
0.680000,0.154079,0.182713,-0.207363,0.228336,-0.250118,-0.069439
0.700000,0.154056,0.182707,-0.207285,0.228271,-0.250078,-0.069339
0.720000,0.154043,0.182713,-0.207330,0.228242,-0.250083,-0.069481
0.740000,0.153988,0.182698,-0.207283,0.228117,-0.250077,-0.069343
0.760000,0.153921,0.182678,-0.207348,0.228013,-0.250104,-0.069520
0.780000,0.153960,0.182674,-0.207301,0.227889,-0.250119,-0.069414
0.800000,0.153866,0.182642,-0.207313,0.227807,-0.250192,-0.069551
0.820000,0.153925,0.182638,-0.207230,0.227758,-0.250195,-0.069410
0.840000,0.153848,0.182621,-0.207250,0.227780,-0.250274,-0.069417
0.860000,0.153949,0.182622,-0.207196,0.227709,-0.250229,-0.069373
0.880000,0.153917,0.182644,-0.207240,0.227797,-0.250267,-0.069360
0.900000,0.154001,0.182650,-0.207205,0.227750,-0.250203,-0.069316
0.920000,0.153960,0.182719,-0.207140,0.227800,-0.250229,-0.069237
0.940000,0.153933,0.182753,-0.207171,0.227725,-0.250191,-0.069435
0.960000,0.153976,0.182698,-0.207182,0.227747,-0.250282,-0.069285
0.980000,0.153968,0.182711,-0.207244,0.227643,-0.250250,-0.069488
1.000000,0.154020,0.182636,-0.207265,0.227619,-0.250380,-0.069356
1.020000,0.154066,0.182629,-0.207353,0.227485,-0.250394,-0.069570
1.040000,0.154136,0.182571,-0.207393,0.227474,-0.250549,-0.069455
1.060000,0.154127,0.182548,-0.207495,0.227312,-0.250589,-0.069697
1.080000,0.154220,0.182439,-0.207528,0.227263,-0.250781,-0.069669
1.100000,0.154235,0.182395,-0.207577,0.227261,-0.250879,-0.069876
1.120000,0.154268,0.182364,-0.207530,0.227304,-0.250858,-0.069813
1.140000,0.154251,0.182409,-0.207546,0.227459,-0.250861,-0.069993
1.160000,0.154280,0.182394,-0.207551,0.227530,-0.250834,-0.069915
1.180000,0.154255,0.182431,-0.207599,0.227628,-0.250863,-0.070134
1.200000,0.154303,0.182381,-0.207624,0.227673,-0.250849,-0.070064
1.220000,0.154237,0.182378,-0.207660,0.227741,-0.250862,-0.070252
1.240000,0.154396,0.182285,-0.207702,0.227723,-0.250848,-0.070147
1.260000,0.154439,0.182213,-0.207789,0.227700,-0.250862,-0.070281
1.280000,0.154692,0.182111,-0.207869,0.227613,-0.250847,-0.070155
1.300000,0.154785,0.182182,-0.207933,0.227566,-0.250901,-0.070212
1.320000,0.155039,0.182140,-0.208042,0.227301,-0.250873,-0.070273
1.340000,0.155094,0.182119,-0.208183,0.227113,-0.250954,-0.070403
1.360000,0.155399,0.182037,-0.208286,0.226745,-0.250986,-0.070546
1.380000,0.155530,0.181980,-0.208408,0.226458,-0.251175,-0.070690
